取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),摘要,タグ,メモ
,2026/05/26,旅費交通費,,,JR東日本モバイルSui,課仕10%,無,3000,未払金,麻梨奈三井住友カード,,,対象外,,3000,交通費 JR東日本モバイルSuica,,麻梨奈三井住友カード/自動仕訳(MF抽出)
,2026/05/25,消耗品費,,,CZURShineUlt,課仕10%,無,40590,未払金,Amazon.co.jp,,,対象外,,40590,事務・消耗品・備品 CZUR Shine Ultra Pro ドキュメントスキャ,,Amazon.co.jp/自動仕訳(MF抽出)
,2026/05/13,旅費交通費,,,JR東日本モバイルSui,課仕10%,無,3000,未払金,麻梨奈三井住友カード,,,対象外,,3000,交通費 JR東日本モバイルSuica,,麻梨奈三井住友カード/自動仕訳(MF抽出)
,2026/05/01,研修費,,,リベシティ東京都中央区,課仕10%,無,3300,未払金,MB,,,対象外,,3300,サロン会費 リベシティ 東京都 中央区,,MB/自動仕訳(MF抽出)
