取引日,借方勘定科目,借方税区分,金額,貸方勘定科目,貸方補助科目,貸方税区分,摘要,備考
2026/02/17,荷造運賃,対象外,100000,未払金,JALSuicaゴールド,対象外,SQ*HANIRO,抜け(仕訳帳に無)/決済カード要確認(過去はMB)
2026/02/24,支払手数料,課仕 10%,144000,未払金,JALSuicaゴールド,対象外,FrontierSpirit,抜け/課税仕入控除漏れ/適格区分・決済カード要確認
2026/02/27,販売手数料,課仕 10%,487,未払金,JALSuicaゴールド,対象外,PAYPAL *ARVO,抜け/課仕/決済カード要確認(過去MB)
2026/03/22,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,抜け(JAL取込3/09停止)/原資チャージ
2026/03/25,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,抜け(JAL取込3/09停止)/原資チャージ
2026/03/25,獲得ポイント残高,対象外,150000,未払金,JALSuicaゴールド,対象外,AMAZON.CO.JP,抜け(JAL取込3/09停止)/原資チャージ
2026/03/27,販売手数料,課仕 10%,498,未払金,JALSuicaゴールド,対象外,PAYPAL *ARVO,抜け/課仕/決済カード要確認
