取引No,取引日,借方勘定科目,借方補助科目,借方部門,借方取引先,借方税区分,借方インボイス,借方金額(円),貸方勘定科目,貸方補助科目,貸方部門,貸方取引先,貸方税区分,貸方インボイス,貸方金額(円),摘要,タグ,メモ
,2026/02/17,荷造運賃,,,,対象外,,100000,未払金,JALSuicaゴールド,,,対象外,,100000,SQ*HANIRO,,抜け追加(JAL明細で実在確認/MF仕訳帳に存在せず)
,2026/02/24,支払手数料,,,,課仕 10%,,144000,未払金,JALSuicaゴールド,,,対象外,,144000,FrontierSpirit,,"抜け追加/課税仕入控除漏れ約13,090円/適格区分要確認"
,2026/02/27,販売手数料,,,,課仕 10%,,487,未払金,JALSuicaゴールド,,,対象外,,487,PAYPAL *ARVO,,抜け追加/課仕10%/JAL明細で実在確認
,2026/03/27,販売手数料,,,,課仕 10%,,498,未払金,JALSuicaゴールド,,,対象外,,498,PAYPAL *ARVO,,抜け追加/課仕10%/JAL明細で実在確認
